name,energy (kcal/kJ),water (g),protein (g),total fat (g),carbohydrates (g),fiber (g),sugars (g),calcium (mg),iron (mg),magnessium (mg),phosphorus (mg),potassium (mg),sodium (g),vitamin A (IU),vitamin C (mg),vitamin B1 (mg),vitamin B2 (mg),viatmin B3 (mg),vitamin B5 (mg),vitamin B6 (mg),vitamin E (mg)
"Broccoli raab or Broccoli rabe, cooked",33/136,91.41,3.83,0.52,3.12,2.8,0.62,118,1.27,27,82,343,56,4533,37,0.169,0.14,2.015,0.448,0.22,2.53
"Broccoli raab or Broccoli rabe, raw",22/92,92.55,3.17,0.49,2.85,2.7,0.38,108,2.14,22,73,196,33,2622,20.2,0.162,0.129,1.221,0.322,0.171,1.62
"Broccoli, cooked",35/146,89.25,2.38,0.41,7.18,3.3,1.39,40,0.67,21,67,293,41,1548,64.9,0.063,0.123,0.553,0.616,0.2,1.45
"Broccoli, raw",34/141,89.3,2.82,0.37,6.64,2.6,1.7,47,0.73,21,66,316,33,623,89.2,0.071,0.117,0.639,0.573,0.175,0.78
"Brussels Sprouts, cooked",36/150,88.9,2.55,0.5,7.1,2.6,1.74,36,1.2,20,56,317,21,775,62,0.107,0.08,0.607,0.252,0.178,0.43
"Brussels Sprouts, raw",43/179,86,3.39,0.3,8.95,3.8,2.2,42,1.4,23,69,389,25,754,85,0.139,0.09,0.745,0.309,0.219,0.88
"Cabbage, chinese or pak-choi, raw",13/55,95.32,1.5,0.2,2.18,1,1.18,105,0.8,19,37,252,65,4468,45,0.04,0.07,0.5,0.088,0.194,0.09
"Cabbage, common, cooked",23/97,92.57,1.27,0.06,5.51,1.9,2.79,48,0.17,15,33,196,8,80,37.5,0.061,0.038,0.248,0.174,0.112,0.14
"Cabbage, common, raw",24/100,92.52,1.21,0.18,5.37,2.3,0,47,0.56,15,23,246,18,126,51,0.05,0.03,0.3,0.14,0.095,0
"Cabbage, red, cooked",29/122,90.84,1.51,0.09,6.94,2.6,3.32,42,0.66,17,33,262,28,33,34.4,0.071,0.06,0.382,0.154,0.225,0.12
"Cabbage, red, raw",31/130,90.39,1.44,0.16,7.37,2.1,3.83,45,0.8,16,30,243,27,1116,57,0.064,0.069,0.418,0.147,0.209,0.11
"Cabbage, savoy, cooked",24/100,92,1.8,0.09,5.41,2.8,0,30,0.38,24,33,184,24,889,17,0.051,0.02,0.024,0.159,0.152,0
"Cabbage, savoy, raw",27/113,91,2,0.1,6.1,3.1,2.27,35,0.4,28,42,230,28,1000,31,0.07,0.03,0.3,0.187,0.19,0.17
Carambola or Starfruit,31/128,91.38,1.04,0.33,6.73,2.8,3.98,3,0.08,10,12,133,2,61,34.4,0.014,0.016,0.367,0.391,0.017,0.15
"Carrots, cooked",35/147,90.17,0.76,0.18,8.22,3,3.45,30,0.34,10,30,235,58,17033,3.6,0.066,0.044,0.645,0.232,0.153,1.03
"Carrots, raw",41/173,88.29,0.93,0.24,9.58,2.8,4.74,33,0.3,12,35,320,69,16706,5.9,0.066,0.058,0.983,0.273,0.138,0.66
"Cauliflower, cooked",23/96,93,1.84,0.45,4.11,2.3,2.08,16,0.32,9,32,142,15,12,44.3,0.042,0.052,0.41,0.508,0.173,0.07
"Cauliflower, raw",25/104,92.07,1.92,0.28,4.97,2,1.91,22,0.42,15,44,299,30,0,48.2,0.05,0.06,0.507,0.667,0.184,0.08
"Celeriac, cooked",27/113,92.3,0.96,0.19,5.9,1.2,0,26,0.43,12,66,173,61,0,3.6,0.027,0.037,0.427,0.203,0.101,0
"Celeriac, raw",42/176,88,1.5,0.3,90.2,1.8,1.6,43,0.7,20,115,300,100,0,8,0.05,0.06,0.7,0.352,0.165,0.36
"Celery, cooked",18/74,94.11,0.83,0.16,4,1.6,2.37,42,0.42,12,25,284,91,521,6.1,0.043,0.047,0.319,0.195,0.086,0.35
"Celery, cooked",18/74,94.11,0.83,0.16,4,1.6,2.37,42,0.42,12,25,284,91,521,6.1,0.043,0.047,0.319,0.195,0.086,0.35
"Celery, raw",16/67,95.43,0.69,0.17,2.97,1.6,1.83,40,0.2,11,24,260,80,449,3.1,0.021,0.057,0.32,0.246,0.074,0.27
"Celery, raw",16/67,95.43,0.69,0.17,2.97,1.6,1.83,40,0.2,11,24,260,80,449,3.1,0.021,0.057,0.32,0.246,0.074,0.27
"Chard, swiss, cooked",20/84,92.65,1.88,0.08,4.13,2.1,1.1,58,2.26,86,33,549,179,6124,18,0.034,0.086,0.36,0.163,0.085,1.89
"Chard, swiss, raw",19/79,92.66,1.8,0.2,3.74,1.6,1.1,51,1.8,81,46,379,213,6116,3,0.04,0.9,0.4,0.172,0.099,1.89
Cherimoya fruit nutrition,75/313,79.39,1.57,0.68,17.71,3,12.87,10,0.27,17,26,287,7,5,12.6,0.101,0.131,0.644,0.345,0.257,0.27
Cherry fruit nutrition facts,63/263,82.25,1.06,0.2,16.01,2.1,12.82,13,0.36,11,21,222,0,64,7,0.027,0.033,0.154,0.199,0.049,0.07
"Chickpeas, cooked",164/686,60.21,8.86,2.59,27.42,7.6,4.8,49,2.89,48,168,291,7,27,1.3,0.116,0.063,0.526,0.286,0.139,0.35
Clementine,47/198,86.58,0.85,0.15,12.02,1.7,9.18,30,0.14,10,21,177,1,0,48.8,0.086,0.03,0.636,0.151,0.075,0.2
Cranberries,46/194,87.13,0.39,0.13,12.2,4.6,4.04,8,0.25,6,13,85,2,60,13.3,0.012,0.02,0.101,0.295,0.057,1.2
"Cress, garden, cooked",23/96,92.5,1.9,0.6,3.8,0.7,3.11,61,0.8,26,48,353,8,4649,23,0.06,0.16,0.8,0.163,0.157,0.5
"Cress, garden, raw",32/134,89.4,2.6,0.7,5.5,1.1,4.4,81,1.3,38,76,606,14,6971,69,0.08,0.26,1,0.242,0.247,0.7
"Cucumber, with peel, raw",15/65,95.23,0.65,0.11,3.63,0.5,1.67,16,0.28,13,24,147,2,105,2.8,0.027,0.033,0.098,0.259,0.04,0.03
Currants Black,63/264,81.96,1.4,0.41,15.38,0,0,55,1.54,24,59,322,2,230,181,0.05,0.05,0.3,0.398,0.066,0
"Currants, Red and White",56/234,83.95,1.4,0.2,13.8,4.3,7.37,33,1,13,44,275,1,42,41,0.04,0.05,0.1,0.064,0.07,0.1
"Dandelion greens, cooked",33/138,89.8,2,0.6,6.4,2.9,0.5,140,1.8,24,42,232,44,6837,18,0.13,0.175,0.514,0.057,0.16,2.44
"Dandelion greens, raw",45/188,85.6,2.7,0.7,9.2,3.5,0.71,187,3.1,36,66,397,76,10161,35,0.19,0.26,0.806,0.084,0.251,3.44
"Date nutrition: Dates, deglet noor",282/1178,20.53,2.45,0.39,75.03,8,63.35,39,1.02,43,62,656,2,10,0.4,0.052,0.066,1.274,0.589,0.165,0.05
"Dates, medjool",277/1160,21.32,1.81,0.15,74.97,6.7,66.47,64,0.9,54,62,696,1,149,0,0.05,0.06,1.61,0.805,0.249,0
Durian nutrition,147/615,64.99,1.47,5.33,27.09,3.8,0,6,0.43,30,39,436,2,44,19.7,0.374,0.2,1.074,0.23,0.316,0
"Eggplant or Aubergine, cooked",35/147,89.67,0.83,0.23,8.73,2.5,3.2,6,0.25,11,15,123,1,37,1.3,0.076,0.02,0.6,0.075,0.086,0.41
"Eggplant or Aubergine, raw",24/102,92.41,1.01,0.19,5.7,3.4,2.35,9,0.24,14,25,230,2,27,2.2,0.039,0.037,0.649,0.281,0.084,0.3
"Endive, raw",17/71,93.79,1.25,0.2,3.35,3.1,0.25,52,0.83,15,28,314,22,2167,6.5,0.08,0.075,0.4,0.9,0.02,0.44
"Fennel, raw",31/130,90.21,1.24,0.2,7.29,3.1,0,49,0.73,17,50,414,52,134,12,0.01,0.032,0.64,0.232,0.047,0
"Fig nutrition: Figs, raw",74/310,79.11,0.75,0.3,19.18,2.9,16.26,35,0.37,17,14,232,1,142,2,0.06,0.05,0.4,0.3,0.113,0.11
"French beans, cooked",129/540,66.57,7.05,0.76,24.02,9.4,0,63,1.08,56,102,370,6,3,1.2,0.13,0.062,0.546,0.222,0.105,0
"Garlic, raw",149/623,58.58,6.36,0.5,33.06,2.1,1,181,1.7,25,153,401,17,9,31.2,0.2,0.11,0.7,0.596,1.235,0.08
"Ginger root, raw",80/333,78.89,1.82,0.75,17.77,2,1.7,16,0.6,43,34,415,13,0,5,0.025,0.034,0.75,0.203,0.16,0.26
Gooseberries,44/184,87.87,0.88,0.58,10.18,4.3,0,25,0.31,10,27,198,1,290,27.7,0.04,0.03,0.3,0.286,0.08,0.37
"Grape nutrition: Grapes, red or green",69/288,80.54,0.72,0.16,18.1,0.9,15.48,10,0.36,7,20,191,2,66,10.8,0.069,0.07,0.188,0.05,0.086,0.19
"Grapefruit, pink and red",42/176,88.06,0.77,0.14,10.66,1.6,6.89,22,0.08,9,18,135,0,1150,31.2,0.043,0.031,0.204,0.262,0.053,0.13
"Grapefruit, white",33/138,90.48,0.69,0.1,8.41,1.1,7.31,12,0.06,9,8,148,0,33,33.3,0.037,0.02,0.269,0.283,0.043,0.13
Groundcherries or Cape Gooseberries,53/222,85.4,1.9,0.7,11.2,0,0,9,1,0,40,0,0,720,11,0.11,0.04,2.8,0,0,0
Guava nutrition facts,68/285,80.8,2.55,0.95,14.32,5.4,8.92,18,0.26,22,40,417,2,624,228.3,0.067,0.04,1.084,0.451,0.11,0.73
Jackfruit nutrition,94/393,73.23,1.47,0.3,24.01,1.6,0,34,0.6,37,36,303,3,297,6.7,0.03,0.11,0.4,0,0.108,0
"Kale, cooked",28/117,91.2,1.9,0.4,5.63,2,1.25,72,0.9,18,28,228,23,13621,41,0.053,0.07,0.5,0.049,0.138,0.85
"Kale, raw",50/208,84.46,3.3,0.7,10.01,2,0,135,1.7,34,56,447,43,15376,120,0.11,0.13,1,0.091,0.271,0
"Kidney beans, cooked",127/532,66.94,8.67,0.5,22.8,6.4,0.32,35,2.22,42,138,405,1,0,1.2,0.16,0.058,0.578,0.22,0.12,0.03
"Kiwi nutriion: Kiwifruit, gold",60/251,83.22,1.23,0.56,14.23,2,10.98,20,0.29,14,29,316,3,72,105.4,0.024,0.046,0.28,0.5,0.057,1.49
"Kiwi nutriion: Kiwifruit, green",61/255,83.07,1.14,0.52,14.66,3,8.99,34,0.31,17,34,312,3,87,92.7,0.027,0.025,0.341,0.183,0.063,1.46
"Kohlrabi, cooked",29/121,90.3,1.8,0.11,6.69,1.1,2.8,25,0.4,19,45,340,21,35,54,0.04,0.02,0.39,0.16,0.154,0.52
"Kohlrabi, raw",27/113,91,1.7,0.1,6.2,3.6,2.6,24,0.4,19,46,350,20,36,62,0.05,0.02,0.4,0.165,0.15,0.48
Kumquat nutrition,71/296,80.85,1.88,0.86,15.9,6.5,9.36,62,0.86,20,19,186,10,290,43.9,0.037,0.09,0.429,0.208,0.036,0.15
"Leeks, cooked",31/130,90.8,0.81,0.2,7.62,1,2.11,30,1.1,14,17,87,10,812,4.2,0.026,0.02,0.2,0.072,0.113,0.5
"Leeks, raw",61/255,83,1.5,0.3,14.15,1.8,3.9,59,2.1,28,35,180,20,1667,12,0.06,0.03,0.4,0.14,0.233,0.92
Lemon nutrition: Lemon with peel,20/84,87.4,1.2,0.3,10.7,4.7,0,61,0.7,12,15,145,3,30,77,0.05,0.04,0.2,0.232,0.109,0
"Lentils, cooked",116/ 487,69.64,9.02,0.38,20.13,7.9,1.8,19,3.33,36,180,369,2,8,1.5,0.169,0.073,1.06,0.638,0.178,0.11
"Lettuce, butterhead, raw",13/55,95.63,1.35,0.22,2.23,1.1,0.94,35,1.24,13,33,238,5,3312,3.7,0.057,0.062,0.357,0.15,0.082,0.18
"Lettuce, cos or romaine, raw",17/72,94.61,1.23,0.3,3.29,2.1,1.19,33,0.97,14,30,247,8,8710,4,0.072,0.067,0.313,0.142,0.074,0.13
"Lettuce, green leaf, raw",15/62,94.98,1.36,0.15,2.87,1.3,0.78,36,0.86,13,29,194,28,7405,9.2,0.07,0.08,0.375,0.134,0.09,0.22
"Lettuce, iceberg (includes crisphead types), raw",14/58,95.64,0.9,0.14,2.97,1.2,1.97,18,0.41,7,20,141,10,502,2.8,0.041,0.025,0.123,0.091,0.042,0.18
"Lettuce, red leaf, raw",16/68,95.64,1.33,0.22,2.26,0.9,0.48,33,1.2,12,28,187,25,7492,3.7,0.064,0.077,0.321,0.144,0.1,0.15
Lime nutrition,30/126,88.26,0.7,0.2,10.54,2.8,1.69,33,0.6,6,18,102,2,50,29.1,0.03,0.02,0.2,0.217,0.043,0.22
Litchis or Lychees nutrition,66/276,81.76,0.83,0.44,16.53,1.3,15.23,5,0.31,10,31,171,1,0,71.5,0.011,0.065,0.603,0,0.1,0.07
Mandarin-Clementine nutrition,47/198,86.58,0.85,0.15,12.02,1.7,9.18,30,0.14,10,21,177,1,0,48.8,0.086,0.03,0.636,0.151,0.075,0.2
Mandarin-Tangerine nutrition,53/223,85.17,0.81,0.31,13.34,1.8,10.58,37,0.15,12,20,166,2,681,26.7,0.058,0.036,0.376,0.216,0.078,0.2
Mango nutrition facts,65/272,81.71,0.51,0.27,17,1.8,14.8,10,0.13,9,11,156,2,765,27.7,0.058,0.057,0.584,0.16,0.134,1.12
"Melons, cantaloupe",34/141,90.15,0.84,0.19,8.16,0.9,7.86,9,0.21,12,15,267,16,3382,36.7,0.041,0.019,0.734,0.105,0.072,0.05
"Melons, casaba",28/118,91.85,1.11,0.1,6.58,0.9,5.69,11,0.34,11,5,182,9,0,21.8,0.015,0.031,0.232,0.084,0.163,0.05
"Melons, honeydew",36/150,89.82,0.54,0.14,9.09,0.8,8.12,6,0.17,10,11,228,18,50,18,0.038,0.012,0.418,0.155,0.088,0.02
"Mulberries, raw",43/180,87.68,1.44,0.39,9.8,1.7,8.1,39,1.85,18,38,194,10,25,36.4,0.029,0.101,0.62,0,0.05,0.87
"Navy beans, cooked",140/585,63.81,8.23,0.62,26.05,10.5,0.37,69,2.36,53,144,389,0,0,0.9,0.237,0.066,0.649,0.266,0.138,0.01
Nectarine nutrition,44/185,87.59,1.06,0.32,10.55,1.7,7.89,6,0.28,9,26,201,0,332,5.4,0.034,0.027,1.125,0.185,0.025,0.77
"Okra, cooked",22/94,92.57,1.87,0.21,4.51,2.5,2.4,77,0.28,36,32,135,6,283,16.3,0.132,0.055,0.871,0.213,0.187,0.27
"Onions, cooked",44/184,87.86,1.36,0.19,10.15,1.4,4.73,22,0.24,11,35,166,3,2,5.2,0.042,0.023,0.165,0.113,0.129,0.02
"Onions, raw",40/166,89.11,1.1,0.1,9.34,1.7,4.24,23,0.21,10,29,146,4,2,7.4,0.046,0.027,0.116,0.123,0.12,0.02
Oranges nutrition facts,47/197,86.75,0.94,0.12,11.75,2.4,9.35,40,0.1,10,14,181,0,225,53.2,0.087,0.04,0.282,0.25,0.06,0.18
Papaya nutrition,39/163,88.83,0.61,0.14,9.81,1.8,5.9,24,0.1,10,5,257,3,1094,61.8,0.027,0.032,0.338,0.218,0.019,0.73
"Parsnips, cooked",71/229,80.24,1.32,0.3,17.01,3.6,4.8,37,0.58,29,69,367,10,0,13,0.083,0.051,0.724,0.588,0.093,1
Passion fruit nutrition,97/406,72.93,2.2,0.7,23.38,10.4,11.2,12,1.6,29,68,348,28,1272,30,0,0.13,1.5,0,0.1,0.02
Peaches nutrition,39/165,88.87,0.91,0.25,9.54,1.5,8.39,6,0.25,9,20,190,0,326,6.6,0.024,0.031,0.806,0.153,0.025,0.73
"Peanuts, dry-roasted",585/2448,1.55,23.68,49.66,21.51,8,4.18,54,2.26,176,358,658,6,0,0,0.438,0.098,13.525,1.395,0.256,6.93
Pear nutrition,58/242,83.71,0.38,0.12,15.46,3.1,9.8,9,0.17,7,11,119,1,23,4.2,0.012,0.025,0.157,0.048,0.028,0.12
"Peas, green, cooked",84/352,77.87,5.36,0.22,15.63,5.5,5.93,27,1.54,39,117,271,3,801,14.2,0.259,0.149,2.021,0.153,0.216,0.14
"Peas, green, raw",81/339,78.86,5.42,0.4,14.45,5.1,5.67,25,1.47,33,108,244,5,765,40,0.266,0.132,2.09,0.104,0.169,0.13
"Peppers, sweet, green, cooked",28/117,91.87,0.92,0.2,6.7,1.2,3.19,9,0.46,10,18,166,2,468,74.4,0.059,0.03,0.477,0.079,0.233,0.5
"Peppers, sweet, green, raw",20/84,93.89,0.86,0.17,4.64,1.7,2.4,10,0.34,10,20,175,3,370,80.4,0.057,0.028,0.48,0.099,0.224,0.37
"Peppers, sweet, red, cooked",28/117,91.87,0.92,0.2,6.7,1.2,4.39,9,0.46,10,18,166,2,2941,171,0.059,0.03,0.477,0.079,0.233,1.65
"Peppers, sweet, red, raw",31/129,92.21,0.99,0.3,6.03,2.1,4.2,7,0.43,12,26,211,4,3131,127.7,0.054,0.085,0.979,0.317,0.291,1.58
"Peppers, sweet, yellow, raw",27/112,92.02,1,0.21,6.32,0.9,0,11,0.46,12,24,212,2,200,183.5,0.028,0.025,0.89,0.168,0.168,0
"Persimmon nutrition: Persimmons, native",127/531,64.4,0.8,0.4,33.5,0,0,27,2.5,0,26,310,1,0,66,0,0,0,0,0,0
Pineapple nutrition,50/209,86,0.54,0.12,13.12,1.4,9.85,13,0.29,12,8,109,1,58,47.8,0.079,0.032,0.5,0.213,0.112,0.02
"Pinto beans, cooked",143/600,62.95,9.01,0.65,26.22,9,0.34,46,2.09,50,147,436,1,0,0.8,0.193,0.062,0.318,0.21,0.229,0.94
Plum nutrition,46/192,87.23,0.7,0.28,11.42,1.4,9.92,6,0.17,7,16,157,0,345,9.5,0.028,0.026,0.417,0.135,0.029,0.26
Pomegranate nutrition facts,83/346,77.93,1.67,1.17,18.7,4,13.67,10,0.3,12,36,236,3,0,10.2,0.067,0.053,0.293,0.377,0.075,0.6
"Potatoes, cooked without skin",86/360,77.46,1.71,0.1,20.01,1.8,0.85,8,0.31,20,40,328,5,3,7.4,0.098,0.019,1.312,0.509,0.269,0.01
"Pumpkin, cooked",20/83,93.69,0.72,0.07,4.9,1.1,1.02,15,0.57,9,30,230,1,4992,4.7,0.031,0.078,0.413,0.201,0.044,0.8
"Pumpkin, raw",26/109,91.6,1,0.1,6.5,0.5,1.36,21,0.8,12,44,340,1,7384,9,0.05,0.11,0.6,0.298,0.061,1.06
Quince fruit,57/238,83.8,0.4,0.1,15.3,1.9,0,11,0.7,8,17,197,4,40,15,0.02,0.03,0.2,0.081,0.04,0
"Radicchio, raw",23/96,93.14,1.43,0.25,4.48,0.9,0.6,19,0.57,13,40,302,22,27,8,0.016,0.028,0.255,0.269,0.057,2.26
"Radishes, raw",16/66,95.27,0.68,0.1,3.4,1.6,1.86,25,0.34,10,20,233,39,7,14.8,0.012,0.039,0.254,0.165,0.071,0
Raspberry nutrition,52/220,85.75,1.2,0.65,11.94,6.5,4.42,25,0.69,22,29,151,1,33,26.2,0.032,0.038,0.598,0.329,0.055,0.87
"Shallots, raw",72/302,79.8,2.5,0.1,16.8,0,0,37,1.2,21,60,334,12,1190,8,0.06,0.02,0.2,0.29,0.345,0
"Sorrel or spinach dock, cooked",20/84,93.6,1.83,0.64,2.93,2.6,0,38,2.08,89,52,321,3,3474,26.3,0.034,0.086,0.411,0.036,0.1,0
"Sorrel or spinach dock, raw",22/92,93,2,0.7,3.2,2.9,0,44,2.4,103,63,390,4,4000,48,0.04,0.1,0.5,0.041,0.122,0
"Soybeans, cooked",173/725,62.55,16.64,8.97,9.93,6,3,102,5.14,86,245,515,1,9,1.7,0.155,0.285,0.399,0.179,0.234,0.35
"Spinach, cooked",23/96,91.21,2.97,0.26,3.75,2.4,0.43,136,3.57,87,56,466,70,10481,9.8,0.095,0.236,0.49,0.145,0.242,2.08
"Spinach, raw",23/97,91.4,2.86,0.39,3.63,2.2,0.42,99,2.71,79,49,558,79,9377,28.1,0.078,0.189,0.724,0.065,0.195,2.03
"Spring onion or scallions, raw",32/135,89.83,1.83,0.19,7.34,2.6,2.33,72,1.48,20,37,276,16,997,18.8,0.055,0.08,0.525,0.075,0.061,0.55
"Squash, summer, zucchini or courgette, includes skin, cooked",15/64,95.22,1.14,0.36,2.69,1,1.71,18,0.37,19,37,264,3,1117,12.9,0.035,0.024,0.51,0.288,0.08,0.12
"Squash, summer, zucchini or courgette, includes skin, raw",17/70,94.79,1.21,0.32,3.11,1,2.5,16,0.37,18,38,261,8,200,17.9,0.045,0.094,0.451,0.204,0.163,0.12
"Squash, winter, butternut, baked",40/167,87.8,0.9,0.09,10.49,3.2,1.97,41,0.6,29,27,284,4,11155,15.1,0.072,0.017,0.969,0.359,0.124,1.29
"Squash, winter, butternut, raw",45/188,86.41,1,0.1,11.69,2,2.2,48,0.7,34,33,352,4,10630,21,0.1,0.02,1.2,0.4,0.154,1.44
Strawberry nutrition facts,32/136,90.95,0.67,0.3,7.68,2,4.89,16,0.41,13,24,153,1,12,58.8,0.024,0.022,0.386,0.125,0.047,0.29
"Sweet corn, cooked",96/401,73.41,3.41,1.5,20.98,2.4,4.54,3,0.45,26,77,218,1,263,5.5,0.093,0.057,1.683,0.792,0.139,0.09
"Sweet Potato, cooked",76/320,80.13,1.37,0.14,17.72,2.5,5.74,27,0.72,18,32,230,27,15740,12.8,0.056,0.047,0.538,0.581,0.165,0.94
Tangerine nutrition,53/223,85.17,0.81,0.31,13.34,1.8,10.58,37,0.15,12,20,166,2,681,26.7,0.058,0.036,0.376,0.216,0.078,0.2
"Tomatoes, red, ripe, raw",18/74,94.52,0.88,0.2,3.89,1.2,2.63,10,0.27,11,24,237,5,833,13.7,0.037,0.019,0.594,0.089,0.08,0.54
"Tomatoes, red, ripe, stewed",79/331,80.63,1.96,2.68,13.05,1.7,0,26,1.06,15,38,247,455,666,18.2,0.108,0.08,1.11,0.256,0.086,0
"Turnips or swede, cooked",22/92,93.6,0.71,0.08,5.06,2,2.99,33,0.18,9,26,177,16,0,11.6,0.027,0.023,0.299,0.142,0.067,0.02
"Turnips or swede, raw",28/117,91.87,0.9,0.1,6.43,1.8,3.8,30,0.3,11,27,191,67,0,21,0.04,0.03,0.4,0.2,0.09,0.03
"Wasabi, root, raw",109/456,69.11,4.8,0.63,23.54,7.8,0,128,1.03,69,80,568,17,35,41.9,0.131,0.114,0.743,0.203,0.274,0
Watermelon nutrition facts,30/127,91.45,0.61,0.15,7.55,0.4,6.2,7,0.24,10,11,112,1,569,8.1,0.033,0.021,0.178,0.221,0.045,0.05
"Yam, cooked",116/486,70.13,1.49,0.14,27.48,3.9,0.49,14,0.52,18,49,670,8,122,12.1,0.095,0.028,0.552,0.311,0.228,0.34
